7edfd51 | Danila Danko | 2024-03-25 | fix(ci): upload artifacts on all platforms even if some previous steps failed
57398c0 | Danila Danko | 2024-03-25 | feat(report):
5ef32ed | Danila Danko | 2024-03-24 | refactor(ci): move haddock files together with other files
ec619ca | Danila Danko | 2024-03-24 | fix(ci): disable macos tests and add todos
af5284e | Danila Danko | 2024-03-24 | feat(ci): use pipeline artifact to deploy the report
c18c2cd | Danila Danko | 2024-03-24 | fix(ci): use faster stack-action
4291cf2 | Danila Danko | 2024-03-24 | fix(ci): run haddock as a part of stack setup
35edf41 | Danila Danko | 2024-03-24 | feat(ci): upload pipeline artifact
f387a6f | Danila Danko | 2024-03-23 | feat(ci, report): generate a job summary
fb1bb40 | Danila Danko | 2024-03-24 | feat(site): add docs for the report command
d797f3a | Danila Danko | 2024-03-24 | fix(report): remove config input
c5be8b3 | Danila Danko | 2024-03-24 | feat(report, cli): support optional input and output in report config
78c87f8 | Danila Danko | 2024-03-24 | feat(report): add embedded js and css files
eb2977f | Danila Danko | 2024-03-24 | feat(package): add report js and css files to extra-source-files
361ce95 | Danila Danko | 2024-03-24 | feat(report): move report js and css inside package
b17ce84 | Danila Danko | 2024-03-24 | feat(package): add file-embed
623734c | Danila Danko | 2024-03-24 | refactor(cli, report): update terminology - refer to initial and normalized phi programs
0986d9a | Danila Danko | 2024-03-24 | fix(report): class name
d52ed76 | Danila Danko | 2024-03-24 | fix(report): description
69de37a | Danila Danko | 2024-03-24 | fix(report): use 'not applicable' instead of 'nan'
fde9b17 | Danila Danko | 2024-03-23 | fix(report): metric name
e24d103 | Danila Danko | 2024-03-23 | fix(test): formatting
d8f95ef | Danila Danko | 2024-03-23 | fix(test): imports
ec3afca | Danila Danko | 2024-03-23 | fix(cli): formatting issue
1971831 | Danila Danko | 2024-03-23 | refactor(report): provide table description
1a86006 | Danila Danko | 2024-03-23 | fix(report): gitignore reports
6fcd2a2 | Danila Danko | 2024-03-23 | fix(package): update cabal file
8d0f1c1 | Danila Danko | 2024-03-23 | fix(cli): write json, html, and markdown reports
7c3a85f | Danila Danko | 2024-03-23 | fix(report): support markdown output
98d8cad | Danila Danko | 2024-03-23 | refactor(report): use uppercase letters in table head
cac8a76 | Danila Danko | 2024-03-23 | fix(report): import
218736e | Danila Danko | 2024-03-23 | fix(cli): remove unused option
8f06471 | Danila Danko | 2024-03-23 | fix(report): config
f1fc195 | Danila Danko | 2024-03-23 | fix(report): config format
a813e7f | Danila Danko | 2024-03-23 | fix(report): imports
17b47fb | Danila Danko | 2024-03-23 | refactor(metrics): split into modules
055f169 | Danila Danko | 2024-03-23 | refactor(metrics): add fractional instance for safenumber
6dda973 | Danila Danko | 2024-03-22 | refactor(cli): formatting issue
76ed34a | Danila Danko | 2024-03-22 | feat(package): add scientific
a78af23 | Danila Danko | 2024-03-22 | fix(cli): update functions
a51f344 | Danila Danko | 2024-03-22 | fix(report): show percents
396a928 | Danila Danko | 2024-03-22 | fix(metrics): division
2d8a64f | Danila Danko | 2024-03-22 | fix(metrics): json instances
84679d0 | Danila Danko | 2024-03-22 | refactor(report html):
6e6bc66 | Danila Danko | 2024-03-22 | refactor(report):
856285c | Danila Danko | 2024-03-22 | refactor(metrics): use safe numbers
e04a5e0 | Danila Danko | 2024-03-21 | feat(report): bundle html, js, and css
f18e21f | Danila Danko | 2024-03-21 | refactor(report): provide toString function
5d61f5a | Danila Danko | 2024-03-21 | refactor(report):
a34669d | Danila Danko | 2024-03-21 | refactor(report): format with another fourmolu version
069fa6c | Danila Danko | 2024-03-21 | fix(report): gitignore any json
abe73f3 | Danila Danko | 2024-03-21 | fix(report): directory
70676b3 | Danila Danko | 2024-03-21 | feat(pipeline): add step to generate a report
5e8febe | Danila Danko | 2024-03-21 | refactor(pipeline): improve message printing
98be85f | Danila Danko | 2024-03-21 | refactor(report): rename config file
bcf595f | Danila Danko | 2024-03-21 | fix(metrics): remove the metrics script because the report command can generate json metrics
9079eaa | Danila Danko | 2024-03-21 | feat(report): gitignore report.json
3c6f1c8 | Danila Danko | 2024-03-21 | fix(report): move directory
f84da06 | Danila Danko | 2024-03-21 | fix(report): config
f41fc30 | Danila Danko | 2024-03-21 | feat(cli): write json report if path is specified
e70b88a | Danila Danko | 2024-03-21 | fix(cli):
cbcaa81 | Danila Danko | 2024-03-21 | fix(report): field names
c1f5cb9 | Danila Danko | 2024-03-21 | feat(report): make json instances for report
de1d4ab | Danila Danko | 2024-03-21 | feat(report): optional json report path
c074608 | Danila Danko | 2024-03-21 | refactor(report): group page-related config keys
eddc31e | Danila Danko | 2024-03-21 | fix(report): apply autoprefixer
7143dc8 | Danila Danko | 2024-03-21 | fix(report): align headers by center
a723402 | Danila Danko | 2024-03-21 | feat(report):
074a6de | Danila Danko | 2024-03-21 | feat(report): add config for report
a2ec2a8 | Danila Danko | 2024-03-21 | feat(cli): add command to generate a report
f2070de | Danila Danko | 2024-03-21 | chore(cabal): update .cabal
d31e4a9 | Danila Danko | 2024-03-21 | refactor(report): split into two modules
af90da8 | Danila Danko | 2024-03-21 | feat(report): support conversion to html
e6f6d4e | Danila Danko | 2024-03-21 | feat(package): add blaze
09eae8d | Danila Danko | 2024-03-21 | refactor(metrics): give a more descriptive function name
8f68046 | Danila Danko | 2024-03-21 | fix(metrics): fromInteger
57a9e6a | Danila Danko | 2024-03-21 | fix(metrics): division
67c6c38 | Danila Danko | 2024-03-20 | refactor(metrics): generalize the metrics type
1d68517 | Danila Danko | 2024-03-19 | feat(report): add module
47acd23 | Abdelrahman Abounegm | 2024-03-22 | Add dataization tests
8df9af4 | Abdelrahman Abounegm | 2024-03-22 | Ignore the lambda package
f8324c0 | Abdelrahman Abounegm | 2024-03-22 | Add documentation for the dataization subcommand
a6697d2 | Danila Danko | 2024-03-21 | fix(vscode settings): use external fourmolu
afbbccd | Danila Danko | 2024-03-19 | refactor(cli): remove shadowing function
def87fd | Danila Danko | 2024-03-18 | fix(metrics tests): update metrics format
1bb2d80 | Danila Danko | 2024-03-18 | fix(phiSpec): update metrics functions
ee70a05 | Danila Danko | 2024-03-18 | refactor(metrics): use custom parser for BindingsByPathMetrics
e9a2eda | Danila Danko | 2024-03-18 | refactor(metrics): move splitStringOn
24784b1 | Danila Danko | 2024-03-18 | fix(package): add template-haskell to deps
